Squad,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,# Pl,Age,Poss,Ast,G-PK,PK,PKatt,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Notes,Country
Aston Villa-19,9,8,21,41,67,-26,35,40.1,65.9,-25.8,-0.68,28,25.7,43.9,32,39,1,3,1.05,0.84,1.89,1.03,1.87,37.7,30.4,68.1,1.05,0.8,1.85,0.99,1.79,Neither,England
Bournemouth-19,9,7,22,40,65,-25,34,42.7,57.5,-14.8,-0.39,27,25.2,43.8,24,34,4,4,1,0.63,1.63,0.89,1.53,39.7,27.4,67,1.12,0.72,1.84,1.04,1.76,Relegation Spot,England
Brighton-19,9,14,15,39,54,-15,41,41.2,54.5,-13.3,-0.35,25,26.4,52.2,24,34,1,2,0.92,0.63,1.55,0.89,1.53,39.7,26.5,66.2,1.08,0.7,1.78,1.04,1.74,Neither,England
Burnley-19,15,9,14,43,50,-7,54,43.9,48.3,-4.4,-0.12,22,28,41.4,30,38,3,3,1.08,0.79,1.87,1,1.79,41.6,27.2,68.8,1.15,0.72,1.87,1.09,1.81,Neither,England
Chelsea-19,20,6,12,69,54,15,66,66.6,37.9,28.6,0.75,27,25.5,60.7,46,62,7,7,1.82,1.21,3.03,1.63,2.84,61.7,46.2,107.9,1.75,1.22,2.97,1.62,2.84,European Spot,England
Crystal Palace-19,11,10,17,31,50,-19,43,34,51.3,-17.3,-0.46,25,29.4,44.5,20,26,3,3,0.76,0.53,1.29,0.68,1.21,31.9,23.6,55.5,0.9,0.62,1.52,0.84,1.46,Neither,England
Everton-19,13,10,15,44,56,-12,49,49.3,48.4,0.9,0.02,24,25.5,49.2,32,41,1,1,1.11,0.84,1.95,1.08,1.92,48.5,30.9,79.4,1.3,0.81,2.11,1.28,2.09,Neither,England
Leicester City-19,18,8,12,67,41,26,62,61.6,44.5,17.1,0.45,24,26.1,57.6,48,60,5,7,1.71,1.26,2.97,1.58,2.84,56.2,44,100.3,1.62,1.16,2.78,1.48,2.64,European Spot,England
Liverpool-19,32,3,3,85,33,52,99,71.5,40,31.5,0.83,24,26.6,63.4,69,78,5,5,2.18,1.82,4,2.05,3.87,67.7,51.8,119.5,1.88,1.36,3.25,1.78,3.15,European Spot,England
Manchester City-19,26,3,9,102,35,67,81,93,34.7,58.3,1.53,24,26.9,66.9,69,94,6,11,2.63,1.82,4.45,2.47,4.29,84.6,66.2,150.8,2.45,1.74,4.19,2.23,3.97,European Spot,England
